0, 0.0
10, 6.335254785978848
20, 8.762207135492243
30, 9.762096216421108
40, 10.220971268115727
50, 10.468030521560001
60, 10.626419322821526
70, 10.74263798823526
80, 10.83500588732438
90, 10.91140179201205
100, 10.975848202882286
110, 11.03428328840618
120, 11.09610063916794
130, 11.217878380954245
140, 11.601686279480669
150, 12.26499962060999
160, 13.131054056583883
170, 14.168083478214758
180, 15.342167785905003
190, 16.594245478551183
200, 17.876504882856032
210, 19.171004585742782
220, 20.498705742997423
230, 21.950393958826197
240, 23.63291091199708
250, 25.67789675563875
260, 28.02480987030427
270, 30.621750853459258
280, 33.72741043496542
290, 37.47461510978724
300, 41.67844607931149
310, 46.432246682757636
320, 51.35396917154972
330, 56.557974967145576
340, 62.327218774801885
350, 68.63072103385677
360, 75.4869380822298
370, 82.54208360758015
380, 89.55855174656273
390, 96.41738905181144
400, 103.37992848433991
410, 110.31662321836096
420, 117.2353239653138
430, 124.63919725324355
440, 132.50042914868698
450, 140.50538137604323
460, 148.5324035234387
470, 157.0734095437607
480, 165.92125229229038
490, 174.96829062166796
500, 184.68583692442945
510, 194.77147844916664
520, 204.758075988198
530, 214.2818383124327
540, 223.55491556404215
550, 232.54438075684968
560, 241.2112970216726
570, 250.35992123298513
580, 261.01863009357885
590, 272.46903571276266
600, 285.0488816852946
610, 297.7843024106357
620, 309.4693149749927
630, 319.0044186065026
640, 325.86560424546536
650, 329.7054759779468
660, 330.22866058211196
670, 326.65752917215667
680, 319.2166366082489
690, 307.51980868741214
700, 293.71777491760554
710, 278.5733043232626
720, 262.9263507046547
730, 247.2136848848988
740, 231.02738547160087
750, 214.6902159357227
760, 198.21477263502973
770, 181.24646834853368
780, 164.00874319064712
790, 146.99352358551457
800, 130.59775643719627
810, 114.92763677511142
820, 100.29559372366082
830, 87.27153977480134
840, 75.96851548268098
850, 66.2611495626743
860, 57.961045355894115
870, 50.87787140357772
880, 44.837888560590905
890, 39.689243323259646
900, 35.30110020896505
910, 31.561385919081207
920, 28.374379327811756
930, 25.65828215518492
940, 23.34374554810792
950, 21.371372021650085
960, 19.690503659343282
970, 18.25812901022049
980, 17.037490251726556
990, 15.997280976292377
1000, 15.110828595477681
