0, 0.0, 0.0
10, 0.0, 1506.274742254967
20, 0.0, 5977.19376766216
30, 2.5219084262489844, 9957.442367479205
40, 5.087015788111219, 13337.575163677335
50, 8.272813738500862, 16258.490776598454
60, 12.575483689198808, 18776.114608705044
70, 18.468112836650207, 20937.746624946594
80, 26.575221329725984, 22789.286205887794
90, 37.632384101978744, 24373.630721449852
100, 52.88215028447479, 25765.801478385925
110, 74.07828960348718, 27373.451466679573
120, 82.65757473958033, 30821.986330151558
130, 75.24331281459024, 41106.99835920334
140, 68.57867006397504, 60875.655770778656
150, 65.75634069007, 85915.02323102951
160, 69.39227520016647, 114047.05594468117
170, 76.8318828247206, 145229.14553260803
180, 89.71179305109695, 178173.6393904686
190, 107.14657631307671, 212368.2429265976
200, 135.06855072223152, 247987.05739879608
210, 173.73609678507228, 285555.20430755615
220, 229.51415086041106, 326568.01917362213
230, 296.3988063858269, 377369.1179218292
240, 380.77425655916795, 438783.27764701843
250, 475.3272602005636, 503826.57247161865
260, 631.1340360667327, 576800.3263912201
270, 758.9516076393375, 658665.0518131256
280, 820.0482087371856, 738557.3875312805
290, 966.9836042116112, 839161.7338447571
300, 1213.2450519940357, 966028.564491272
310, 1401.9372138115868, 1098864.1157341003
320, 1634.5699204470511, 1236238.9729499817
330, 1930.2704801426298, 1386753.7816390991
340, 2221.663159765696, 1543372.9032821655
350, 2430.9891301736643, 1689952.3436431885
360, 2749.634980788367, 1859484.3213119507
370, 3060.745925823532, 2040640.337524414
380, 3437.7979120479577, 2231857.514656067
390, 3913.6472086626454, 2432857.7626037598
400, 4349.242483953654, 2637046.1256332397
410, 4816.947221964103, 2836349.563140869
420, 5070.265166891972, 3025505.5623321533
430, 5321.038907065522, 3234666.530014038
440, 5718.407294246368, 3450395.7298583984
450, 6205.202457091538, 3658105.986343384
460, 6724.351683419896, 3859376.711303711
470, 7348.794702610467, 4067420.6787261963
480, 7865.388546464383, 4278632.9923706055
490, 8617.78954783827, 4506768.4764556885
500, 9197.654786940198, 4739752.886749268
510, 9683.400462101446, 4977227.448791504
520, 10139.539398552384, 5207837.394500732
530, 10807.14652369474, 5450881.646972656
540, 11555.545178942848, 5707712.206115723
550, 12235.635699647479, 5966960.270324707
560, 13225.66979750758, 6236793.0224609375
570, 14014.02174886968, 6513050.611480713
580, 14480.437601537444, 6808414.518188477
590, 14800.021230510436, 7132118.013671875
600, 15275.144640047103, 7446081.772766113
610, 15889.86152118072, 7717853.9998168945
620, 16708.324528602883, 7915292.018096924
630, 17175.269351750612, 8020346.074249268
640, 17633.07589272037, 8042179.311035156
650, 18328.67039848119, 7989947.338348389
660, 19301.244598701596, 7842172.289215088
670, 19999.75445652753, 7581298.818603516
680, 19906.164186380804, 7251714.282440186
690, 19605.478536337614, 6893058.567260742
700, 19074.012526646256, 6510445.835571289
710, 18421.82424171269, 6120072.316436768
720, 17993.219598054886, 5729182.585479736
730, 17479.831597477198, 5321776.4724731445
740, 16634.023207128048, 4885988.461425781
750, 15817.72983711958, 4443616.031829834
760, 15167.481928169727, 4017333.632461548
770, 14420.091208517551, 3588430.589782715
780, 13793.311714500189, 3180575.1230010986
790, 13186.453578919172, 2787375.2930908203
800, 12360.882840901613, 2409472.0222473145
810, 11382.313308566809, 2063650.461883545
820, 10385.087270379066, 1761245.4933929443
830, 9465.99805805087, 1502763.1994018555
840, 8628.246290802956, 1282216.0205230713
850, 7864.636449933052, 1094036.5460205078
860, 7168.607013702393, 933474.4966201782
870, 6534.177024364471, 796476.7591171265
880, 5955.894805401564, 679585.0839385986
890, 5428.7912474274635, 579848.5579299927
900, 4948.336998641491, 494749.3943710327
910, 4510.40346570313, 422139.50844955444
920, 4111.227568075061, 360185.9139060974
930, 3747.3791854679585, 307324.67359542847
940, 3415.731790408492, 262221.2976837158
950, 3113.435558229685, 223737.4001865387
960, 2837.8929221332073, 190901.46379852295
970, 2586.7361172139645, 162884.55226135254
980, 2357.8069887161255, 138979.56596374512
990, 2149.138360545039, 118582.84715652466
1000, 1958.9371314197779, 101179.44477081299
