0, 899, 1, 0, 0, 0, 0
10, 899, 1, 0, 0, 0, 0
20, 899, 1, 0, 0, 0, 0
30, 899, 0, 1, 0, 0, 0
40, 899, 0, 1, 0, 0, 0
50, 899, 0, 1, 0, 0, 0
60, 899, 0, 1, 0, 0, 0
70, 898, 1, 1, 0, 0, 0
80, 898, 1, 1, 0, 0, 0
90, 897, 2, 1, 0, 0, 0
100, 895, 4, 1, 0, 0, 0
110, 891, 8, 1, 0, 0, 0
120, 889, 10, 1, 0, 0, 0
130, 882, 17, 0, 1, 0, 0
140, 877, 20, 2, 1, 0, 0
150, 874, 21, 4, 1, 0, 0
160, 872, 20, 7, 1, 0, 0
170, 869, 22, 8, 1, 0, 0
180, 866, 25, 8, 1, 0, 0
190, 863, 27, 9, 1, 0, 0
200, 859, 29, 11, 1, 0, 0
210, 855, 29, 15, 1, 0, 0
220, 844, 36, 18, 2, 0, 0
230, 837, 41, 20, 2, 0, 0
240, 831, 46, 19, 4, 0, 0
250, 823, 50, 22, 5, 0, 0
260, 815, 50, 29, 6, 0, 0
270, 805, 55, 30, 10, 0, 0
280, 790, 63, 32, 15, 0, 0
290, 780, 66, 37, 17, 0, 0
300, 762, 72, 42, 24, 0, 0
310, 751, 78, 44, 27, 0, 0
320, 738, 75, 58, 29, 0, 0
330, 719, 84, 60, 37, 0, 0
340, 697, 96, 59, 48, 0, 0
350, 685, 98, 63, 54, 0, 0
360, 669, 96, 70, 65, 0, 0
370, 644, 112, 72, 72, 0, 0
380, 620, 115, 85, 80, 0, 0
390, 599, 123, 88, 90, 0, 0
400, 582, 130, 87, 101, 0, 0
410, 566, 123, 90, 121, 0, 0
420, 539, 129, 99, 133, 0, 0
430, 512, 141, 96, 151, 0, 0
440, 483, 145, 109, 163, 0, 0
450, 459, 147, 117, 177, 0, 0
460, 428, 161, 112, 199, 0, 0
470, 398, 161, 127, 214, 0, 0
480, 367, 177, 122, 234, 0, 0
490, 336, 185, 129, 250, 0, 0
500, 305, 186, 146, 263, 0, 0
510, 279, 187, 146, 288, 0, 0
520, 245, 192, 155, 308, 0, 0
530, 212, 195, 154, 339, 0, 0
540, 174, 205, 159, 362, 0, 0
550, 156, 185, 176, 383, 0, 0
560, 131, 182, 176, 411, 0, 0
570, 113, 162, 189, 436, 0, 0
580, 96, 129, 213, 462, 0, 0
590, 74, 123, 209, 494, 0, 0
600, 63, 107, 205, 525, 0, 0
610, 45, 98, 206, 551, 0, 0
620, 37, 85, 188, 590, 0, 0
630, 27, 80, 166, 627, 0, 0
640, 21, 65, 149, 665, 0, 0
650, 14, 53, 133, 700, 0, 0
660, 7, 49, 117, 727, 0, 0
670, 1, 42, 104, 753, 0, 0
680, 0, 30, 92, 778, 0, 0
690, 0, 20, 85, 795, 0, 0
700, 0, 14, 74, 812, 0, 0
710, 0, 1, 66, 833, 0, 0
720, 0, 0, 53, 847, 0, 0
730, 0, 0, 43, 857, 0, 0
740, 0, 0, 34, 866, 0, 0
750, 0, 0, 19, 881, 0, 0
760, 0, 0, 6, 894, 0, 0
770, 0, 0, 3, 897, 0, 0
780, 0, 0, 1, 899, 0, 0
790, 0, 0, 0, 900, 0, 0
800, 0, 0, 0, 900, 0, 0
810, 0, 0, 0, 900, 0, 0
820, 0, 0, 0, 900, 0, 0
830, 0, 0, 0, 900, 0, 0
840, 0, 0, 0, 900, 0, 0
850, 0, 0, 0, 900, 0, 0
860, 0, 0, 0, 900, 0, 0
870, 0, 0, 0, 900, 0, 0
880, 0, 0, 0, 900, 0, 0
890, 0, 0, 0, 900, 0, 0
900, 0, 0, 0, 900, 0, 0
910, 0, 0, 0, 900, 0, 0
920, 0, 0, 0, 900, 0, 0
930, 0, 0, 0, 900, 0, 0
940, 0, 0, 0, 900, 0, 0
950, 0, 0, 0, 900, 0, 0
960, 0, 0, 0, 900, 0, 0
970, 0, 0, 0, 900, 0, 0
980, 0, 0, 0, 900, 0, 0
990, 0, 0, 0, 900, 0, 0
1000, 0, 0, 0, 900, 0, 0
